Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
covid.412.0.64_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								75.94949189675924	3427795
covid.426.0.80_output_forward_paired	33.23422883241925	45.0	123.4858611179323	0.0	4577236.0				
covid.426.0.80_output_reverse_paired	33.21082722942896	45.0	122.6937258642552	0.0	4577236.0				
covid.426.0.80_second_pass_out						72.09	3299576.0		
covid.426.0.80_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.426.0.80_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								41.99879577981122	1922384
covid.426.0.80_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								61.12492342540345	2797832
covid.426.0.80_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								42.16546841805841	1930013
covid.427.0.80_output_forward_paired	8.343057039011953	44.0	117.43226419317766	0.0	5057148.0				
covid.427.0.80_output_reverse_paired	8.392659191874642	44.0	116.68538927474538	0.0	5057148.0				
covid.427.0.80_second_pass_out						77.92	3940454.0		
covid.427.0.80_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.427.0.80_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								7.669896154907866	387878
covid.427.0.80_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								37.45660597633291	1894236
covid.427.0.80_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								7.77809943470114	393350
covid.432.0.58_output_forward_paired	50.11348988549806	43.0	121.62009261186988	18.181818181818183	4750363.0				
covid.432.0.58_output_reverse_paired	49.40813599504005	43.0	120.53526814687635	9.090909090909092	4750363.0				
covid.432.0.58_second_pass_out						73.53	3493124.0		
covid.432.0.58_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.432.0.58_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								62.499581610921105	2968957
covid.432.0.58_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								70.87346798549922	3366747
covid.432.0.58_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								62.645907270665425	2975908
covid.440.0.60_output_forward_paired	35.20141509034606	43.0	122.55610073321974	0.0	4133413.0				
covid.440.0.60_output_reverse_paired	35.04740679608871	43.0	121.76639087359526	0.0	4133413.0				
covid.440.0.60_second_pass_out						78.25	3234324.0		
covid.440.0.60_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.440.0.60_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								50.766908605551876	2098406
covid.440.0.60_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								63.63283804449254	2630208
covid.440.0.60_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								50.88289024106712	2103200
covid.441.0.64_output_forward_paired	68.56261794964433	43.0	125.13953930082236	18.181818181818183	5475547.0				
covid.441.0.64_output_reverse_paired	67.98359504317534	43.0	124.35842209006698	18.181818181818183	5475547.0				
covid.441.0.64_second_pass_out						73.99	4051093.0		
covid.441.0.64_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.441.0.64_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								76.29566507236628	4177605
covid.441.0.64_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								79.24139816533399	4338900
covid.441.0.64_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								76.3621972380111	4181248
covid.442.0.61_output_forward_paired	61.036476123324654	43.0	121.06979966344142	18.181818181818183	4097355.0				
covid.442.0.61_output_reverse_paired	60.39737796907905	43.0	120.32054581553221	18.181818181818183	4097355.0				
covid.442.0.61_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.442.0.61_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								79.6789148121166	3264728
covid.442.0.61_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								83.16882476622114	3407722
covid.442.0.61_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								79.94025413956076	3275436
covid.450.0.84_output_forward_paired	36.22404435705735	43.0	123.10733641796551	0.0	4190451.0				
covid.450.0.84_output_reverse_paired	36.04136408996973	43.0	122.29517610395635	9.090909090909092	4190451.0				
covid.450.0.84_second_pass_out						78.16	3275397.0		
covid.450.0.84_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST								0.0	0
covid.450.0.84_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST								48.013710218780744	2011991
covid.450.0.84_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST								61.27586266967445	2567735
covid.450.0.84_sel.align.gencode.v39.salmon.v1.6.0.sidx_2022-01-05-16.33.37-PST								48.14083257386854	2017318
hg38_star_2.7.9a_2021-12-20-12.13.45-PST_star_out						82.89	4538495.0		
hg38_star_2.7.9a_2021-12-20-21.20.55-PST_star_out						82.51	3457685.0		
rna_editing_hg38_star_2.7.9a_2021-12-18-22.16.46-PST_star_out						0.0	0.0		
