Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ctrl.7.1.2_output_forward_paired	86.6340522967571	45.0	126.3603583451141	18.181818181818183	5395804.0		
ctrl.7.1.2_output_reverse_paired	84.9342547178446	45.0	124.90285043711744	18.181818181818183	5395804.0		
ctrl.7.1.2_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.7.1.2_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						92.48008267164633	4990044
ctrl.7.1.2_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.7719020186797	5005790
ctrl.8.1.2_output_forward_paired	83.75471475543218	45.0	127.84855960148155	18.181818181818183	4311168.0		
ctrl.8.1.2_output_reverse_paired	81.98781156983418	45.0	126.2068437138149	18.181818181818183	4311168.0		
ctrl.8.1.2_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.8.1.2_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						92.06542171402275	3969095
ctrl.8.1.2_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.7139698568926	3997055
ctrl.9.1.2_output_forward_paired	86.8366724873454	45.0	130.12820725745215	18.181818181818183	5346780.0		
ctrl.9.1.2_output_reverse_paired	86.06058780451835	45.0	129.28815399174832	18.181818181818183	5346780.0		
ctrl.9.1.2_sel.align.gencode.v38.process.aware.salmon.v1.6.0.sidx_2021-12-17-18.07.18-PST						0.0	0
ctrl.9.1.2_sel.align.gencode.v38.salmon.v1.6.0.sidx_2021-12-16-22.28.43-PST						92.83501471913938	4963684
ctrl.9.1.2_sel.align.gencode.v38.ucsc.rmsk.salmon.v1.6.0.sidx_2021-12-17-14.33.58-PST						92.99793520586222	4972395
